DAUID,CSDUID,CCSUID,CDUID,ERUID,PRUID,CTUID,CMAUID,geometry,APMean
35210001,3521024,3521024,3521,3530,35,5350585.08,535,,6.999896217
35210002,3521024,3521024,3521,3530,35,5350585.08,535,,6.74785798
35210003,3521024,3521024,3521,3530,35,5350585.08,535,,6.607804981
35210004,3521024,3521024,3521,3530,35,5350585.08,535,,7.631021415
35210011,3521024,3521024,3521,3530,35,5350586.01,535,,7.847580881
35210013,3521024,3521024,3521,3530,35,5350586.01,535,,8.788346085
35210014,3521024,3521024,3521,3530,35,5350586.01,535,,8.445314129
35210015,3521024,3521024,3521,3530,35,5350586.02,535,,8.510772458
35210017,3521024,3521024,3521,3530,35,5350586.02,535,,8.550669535
35210018,3521024,3521024,3521,3530,35,5350586.02,535,,11.03227367
35210019,3521024,3521024,3521,3530,35,5350586.02,535,,10.83712499
35210023,3521010,3521010,3521,3530,35,5350576.07,535,,19.32685721
35210024,3521010,3521010,3521,3530,35,5350576.07,535,,18.69767572
35210025,3521010,3521010,3521,3530,35,5350576.07,535,,19.03930342
35210026,3521010,3521010,3521,3530,35,5350576.07,535,,18.74458697
35210027,3521010,3521010,3521,3530,35,5350576.07,535,,18.66472517
35210028,3521010,3521010,3521,3530,35,5350576.05,535,,17.42859741
35210029,3521010,3521010,3521,3530,35,5350576.05,535,,16.95403503
35210030,3521010,3521010,3521,3530,35,5350576.05,535,,16.82147373
35210031,3521010,3521010,3521,3530,35,5350576.05,535,,15.90180766
35210032,3521010,3521010,3521,3530,35,5350576.06,535,,15.42946028
35210033,3521010,3521010,3521,3530,35,5350576.06,535,,15.20149551
35210034,3521010,3521010,3521,3530,35,5350576.06,535,,14.71986534
35210035,3521010,3521010,3521,3530,35,5350576.06,535,,14.00078837
35210036,3521010,3521010,3521,3530,35,5350576.06,535,,15.32439894
35210037,3521010,3521010,3521,3530,35,5350576.06,535,,14.1132112
35210040,3521010,3521010,3521,3530,35,5350576.06,535,,15.33356403
35210041,3521010,3521010,3521,3530,35,5350576.06,535,,15.58861368
35210042,3521010,3521010,3521,3530,35,5350576.06,535,,16.31280769
35210043,3521010,3521010,3521,3530,35,5350576.05,535,,17.11939012
35210044,3521010,3521010,3521,3530,35,5350576.05,535,,16.90833823
35210045,3521010,3521010,3521,3530,35,5350576.05,535,,17.14860628
35210046,3521010,3521010,3521,3530,35,5350576.05,535,,17.56880954
35210047,3521010,3521010,3521,3530,35,5350576.05,535,,17.67604749
35210048,3521010,3521010,3521,3530,35,5350576.05,535,,17.69749222
35210049,3521010,3521010,3521,3530,35,5350576.05,535,,18.16466717
35210050,3521010,3521010,3521,3530,35,5350575.05,535,,17.98270496
35210051,3521010,3521010,3521,3530,35,5350575.05,535,,17.37106359
35210052,3521010,3521010,3521,3530,35,5350575.05,535,,17.33606637
35210053,3521010,3521010,3521,3530,35,5350575.06,535,,16.72865658
35210054,3521010,3521010,3521,3530,35,5350575.06,535,,16.11138255
35210055,3521010,3521010,3521,3530,35,5350575.06,535,,15.94191098
35210056,3521010,3521010,3521,3530,35,5350575.06,535,,17.72518217
35210057,3521010,3521010,3521,3530,35,5350575.06,535,,15.88208684
35210058,3521010,3521010,3521,3530,35,5350575.06,535,,16.17020807
35210059,3521010,3521010,3521,3530,35,5350575.06,535,,16.22202828
35210060,3521010,3521010,3521,3530,35,5350575.06,535,,16.78519674
35210061,3521010,3521010,3521,3530,35,5350575.03,535,,17.31020682
35210063,3521010,3521010,3521,3530,35,5350575.03,535,,16.3200366
35210065,3521010,3521010,3521,3530,35,5350575.03,535,,16.61014699
35210066,3521010,3521010,3521,3530,35,5350575.03,535,,17.18095201
35210067,3521010,3521010,3521,3530,35,5350575.03,535,,18.1251327
35210068,3521010,3521010,3521,3530,35,5350575.03,535,,16.74628777
35210069,3521010,3521010,3521,3530,35,5350575.03,535,,19.4570813
35210070,3521010,3521010,3521,3530,35,5350575.03,535,,19.84476769
35210071,3521010,3521010,3521,3530,35,5350575.03,535,,17.98847123
35210072,3521010,3521010,3521,3530,35,5350562.02,535,,22.62048848
35210073,3521010,3521010,3521,3530,35,5350562.02,535,,18.12106665
35210074,3521010,3521010,3521,3530,35,5350562.02,535,,17.31383168
35210075,3521010,3521010,3521,3530,35,5350562.02,535,,17.14344698
35210076,3521010,3521010,3521,3530,35,5350562.02,535,,17.75046489
35210077,3521010,3521010,3521,3530,35,5350562.02,535,,16.69669776
35210078,3521010,3521010,3521,3530,35,5350562.02,535,,17.0007206
35210079,3521010,3521010,3521,3530,35,5350562.11,535,,16.34870168
35210080,3521010,3521010,3521,3530,35,5350562.11,535,,15.6186381
35210081,3521010,3521010,3521,3530,35,5350562.11,535,,15.64846751
35210082,3521010,3521010,3521,3530,35,5350562.05,535,,18.11290536
35210083,3521010,3521010,3521,3530,35,5350562.05,535,,16.71795807
35210090,3521010,3521010,3521,3530,35,5350563.01,535,,18.119017
35210094,3521010,3521010,3521,3530,35,5350564.02,535,,19.00044183
35210095,3521010,3521010,3521,3530,35,5350564.02,535,,18.2946468
35210096,3521010,3521010,3521,3530,35,5350564.02,535,,18.13395653
35210097,3521010,3521010,3521,3530,35,5350564.02,535,,19.58822551
35210098,3521010,3521010,3521,3530,35,5350564.02,535,,19.7605497
35210099,3521010,3521010,3521,3530,35,5350564.02,535,,20.95116397
35210100,3521010,3521010,3521,3530,35,5350564.02,535,,21.61737654
35210104,3521010,3521010,3521,3530,35,5350560.00,535,,20.24059281
35210105,3521010,3521010,3521,3530,35,5350560.00,535,,20.42885407
35210106,3521010,3521010,3521,3530,35,5350560.00,535,,20.62741447
35210107,3521010,3521010,3521,3530,35,5350560.00,535,,20.96362977
35210108,3521010,3521010,3521,3530,35,5350560.00,535,,21.13933232
35210109,3521010,3521010,3521,3530,35,5350560.00,535,,24.34685958
35210110,3521010,3521010,3521,3530,35,5350560.00,535,,21.24094646
35210111,3521010,3521010,3521,3530,35,5350560.00,535,,21.22422021
35210112,3521010,3521010,3521,3530,35,5350561.00,535,,22.3047354
35210113,3521010,3521010,3521,3530,35,5350561.00,535,,22.22121146
35210114,3521010,3521010,3521,3530,35,5350561.00,535,,22.70846919
35210115,3521010,3521010,3521,3530,35,5350561.00,535,,27.52992457
35210116,3521010,3521010,3521,3530,35,5350561.00,535,,23.91682525
35210117,3521010,3521010,3521,3530,35,5350561.00,535,,24.09040656
35210118,3521010,3521010,3521,3530,35,5350561.00,535,,22.05175939
35210119,3521010,3521010,3521,3530,35,5350561.00,535,,21.02288943
35210120,3521010,3521010,3521,3530,35,5350560.00,535,,20.5
35210121,3521010,3521010,3521,3530,35,5350564.01,535,,19.90709563
35210122,3521010,3521010,3521,3530,35,5350560.00,535,,19.67503492
35210124,3521010,3521010,3521,3530,35,5350564.01,535,,18.33048171
35210125,3521010,3521010,3521,3530,35,5350564.02,535,,17.52922111
35210130,3521010,3521010,3521,3530,35,5350563.02,535,,20.3411676
35210131,3521010,3521010,3521,3530,35,5350563.02,535,,20.45629331
35210132,3521010,3521010,3521,3530,35,5350563.02,535,,21.78979723
35210133,3521010,3521010,3521,3530,35,5350563.02,535,,22.95421162
35210145,3521010,3521010,3521,3530,35,5350562.02,535,,19.90817846
35210146,3521010,3521010,3521,3530,35,5350562.02,535,,18.05244629
35210147,3521010,3521010,3521,3530,35,5350562.02,535,,17.59113822
35210148,3521010,3521010,3521,3530,35,5350562.02,535,,26.11018717
35210151,3521010,3521010,3521,3530,35,5350575.04,535,,27.82919241
35210152,3521010,3521010,3521,3530,35,5350575.04,535,,23.06910105
35210153,3521010,3521010,3521,3530,35,5350575.04,535,,20.14136542
35210154,3521010,3521010,3521,3530,35,5350575.04,535,,19.56569047
35210155,3521010,3521010,3521,3530,35,5350575.04,535,,18.44279925
35210156,3521010,3521010,3521,3530,35,5350575.04,535,,18.30114538
35210157,3521010,3521010,3521,3530,35,5350575.04,535,,18.70029739
35210158,3521010,3521010,3521,3530,35,5350575.04,535,,18.9495967
35210159,3521010,3521010,3521,3530,35,5350575.03,535,,17.34176066
35210160,3521010,3521010,3521,3530,35,5350575.03,535,,17.42971742
35210161,3521010,3521010,3521,3530,35,5350575.01,535,,17.44145296
35210162,3521010,3521010,3521,3530,35,5350575.01,535,,16.83175302
35210163,3521010,3521010,3521,3530,35,5350575.01,535,,16.63165885
35210164,3521010,3521010,3521,3530,35,5350575.01,535,,16.86479846
35210165,3521010,3521010,3521,3530,35,5350575.01,535,,16.95355769
35210166,3521010,3521010,3521,3530,35,5350575.01,535,,16.93933997
35210167,3521010,3521010,3521,3530,35,5350575.01,535,,17.1394021
35210168,3521010,3521010,3521,3530,35,5350575.01,535,,18.53490032
35210169,3521010,3521010,3521,3530,35,5350573.03,535,,18.93991344
35210170,3521010,3521010,3521,3530,35,5350573.03,535,,19.26722457
35210171,3521010,3521010,3521,3530,35,5350573.03,535,,18.31545
35210172,3521010,3521010,3521,3530,35,5350573.07,535,,18.85907722
35210173,3521010,3521010,3521,3530,35,5350573.07,535,,18.56882129
35210174,3521010,3521010,3521,3530,35,5350573.07,535,,18.24881566
35210175,3521010,3521010,3521,3530,35,5350573.07,535,,18.56305091
35210176,3521010,3521010,3521,3530,35,5350573.07,535,,18.43172901
35210177,3521010,3521010,3521,3530,35,5350573.07,535,,17.75517374
35210178,3521010,3521010,3521,3530,35,5350573.07,535,,17.9151396
