system:index,ADAUID,ADAUID_1,APMean,Area_km2,CCSNAME,CCSNAME_1,CCSUID,CCSUID_1,CCSUID_12,CCSUID_12_,CDNAME,CDNAME_1,CDTYPE,CDTYPE_1,CDUID,CDUID_1,CDUID_12,CDUID_12_1,CMANAME,CMANAME_1,CMAPUID,CMAPUID_1,CMATYPE,CMATYPE_1,CMAUID,CMAUID_1,CMAUID_12,CMAUID_12_,CSDNAME,CSDNAME_1,CSDTYPE,CSDTYPE_1,CSDUID,CSDUID_1,CSDUID_12,CSDUID_12_,CTNAME,CTNAME_1,CTUID,CTUID_1,CTUID_12,CTUID_12_1,DAPOP16,DAPOP16_1,DATDWEL16,DATDWEL16_,DAUID,DAUID_1,DAUID_12,DAUID_12_1,DAURDWEL16,DAURDWEL_1,ERNAME,ERNAME_1,ERUID,ERUID_1,ERUID_12,ERUID_12_1,FID_Munici,FID_gda_00,FULL_NAME,F_geo,F_geo_1,MUN_NAME,OBJECTID,OBJECTID_2,OBJECTID_3,PRNAME,PRNAME_1,PRUID,PRUID_1,PRUID_12,PRUID_12_1,REG_NAME,SACCODE,SACCODE_1,SACTYPE,SACTYPE_1,SHAPE_Ar_1,SHAPE_Ar_2,SHAPE_Le_2,SHAPE_Le_3,SHAPE_Leng,Shape_Area,Shape_Le_1,geometry,mean,mean_1,system_i_1,system_ind,.geo
00000000000000000000,0,0,0.0,695.99302927,,,3519028,0,0,0,,,,,3519,0,0,0,,,0,0,,,535,0,0,0,,,,,3519028,0,0,0,0.0,0.0,5350413.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35190181,0,0,0,0.0,0.0,,,3530,0,0,0,0,21886,Town of Caledon,,,Caledon,1,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,151323.106534,1.01428626169E-6,0.0517404214388,,0.22935654651919202,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,0,0,0.0,695.99302927,,,3519028,0,0,0,,,,,3519,0,0,0,,,0,0,,,535,0,0,0,,,,,3519028,0,0,0,0.0,0.0,5350413.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35190192,0,0,0,0.0,0.0,,,3530,0,0,0,0,21895,Town of Caledon,,,Caledon,1,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,151323.106534,2.23992921997E-6,0.0135489393643,,0.16566746853507686,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,0,0,0.0,269.455099263,,,3519028,0,0,0,,,,,3519,0,0,0,,,0,0,,,535,0,0,0,,,,,3519028,0,0,0,0.0,0.0,5350413.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35190192,0,0,0,0.0,0.0,,,3530,0,0,0,1,21895,City of Brampton,,,Brampton,2,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,99794.6510416,1.74560912187E-7,0.0419659524829,,0.23378395888885556,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,0,0,0.0,269.455099263,,,3519028,0,0,0,,,,,3519,0,0,0,,,0,0,,,535,0,0,0,,,,,3519028,0,0,0,0.0,0.0,5350412.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35191271,0,0,0,0.0,0.0,,,3530,0,0,0,1,22858,City of Brampton,,,Brampton,2,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,99794.6510416,7.45697853845E-6,0.0773090224661,,0.13653243167933504,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,0,0,0.0,695.99302927,,,3519049,0,0,0,,,,,3519,0,0,0,,,0,0,,,535,0,0,0,,,,,3519049,0,0,0,0.0,0.0,5350461.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35191160,0,0,0,0.0,0.0,,,3530,0,0,0,0,22747,Town of Caledon,,,Caledon,1,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,151323.106534,1.11886660478E-6,0.0595236616678,,0.3088770870426661,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,0,0,0.0,695.99302927,,,3519049,0,0,0,,,,,3519,0,0,0,,,0,0,,,535,0,0,0,,,,,3519049,0,0,0,0.0,0.0,5350461.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35191162,0,0,0,0.0,0.0,,,3530,0,0,0,0,22749,Town of Caledon,,,Caledon,1,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,151323.106534,2.67408098615E-6,0.0708489629021,,0.3233050944717917,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,0,0,0.0,292.386251793,,,3520005,0,0,0,,,,,3520,0,0,0,,,0,0,,,535,0,0,0,,,,,3520005,0,0,0,0.0,0.0,5350206.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35201581,0,0,0,0.0,0.0,,,3530,0,0,0,2,24033,City of Mississauga,,,Mississauga,3,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,1.2533464269E-7,0.0039721806017,,0.28030425926927305,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,0,0,0.0,292.386251793,,,3520005,0,0,0,,,,,3520,0,0,0,,,0,0,,,535,0,0,0,,,,,3520005,0,0,0,0.0,0.0,5350206.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35201582,0,0,0,0.0,0.0,,,3530,0,0,0,2,24034,City of Mississauga,,,Mississauga,3,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,2.51659386604E-7,0.00988874277738,,0.3671444246841647,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,0,0,0.0,292.386251793,,,3520005,0,0,0,,,,,3520,0,0,0,,,0,0,,,535,0,0,0,,,,,3520005,0,0,0,0.0,0.0,5350212.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35201583,0,0,0,0.0,0.0,,,3530,0,0,0,2,24035,City of Mississauga,,,Mississauga,3,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,2.68767305118E-7,0.0146583800806,,0.3750931632887424,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,0,0,0.0,292.386251793,,,3520005,0,0,0,,,,,3520,0,0,0,,,0,0,,,535,0,0,0,,,,,3520005,0,0,0,0.0,0.0,5350213.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35201606,0,0,0,0.0,0.0,,,3530,0,0,0,2,24058,City of Mississauga,,,Mississauga,3,0,0,,,35,0,0,0,Peel,0,0,0,0,0.0,0.0,0.0,0.0,139183.481405,2.60515892044E-6,0.0547978269805,,0.23028259363699094,0.0,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
