system:index,APMean,APMean_1,Area_km2,CCSNAME,CCSNAME_1,CCSUID,CCSUID_1,CCSUID_12,CDNAME,CDNAME_1,CDTYPE,CDTYPE_1,CDUID,CDUID_1,CDUID_12,CMANAME,CMANAME_1,CMAPUID,CMAPUID_1,CMATYPE,CMATYPE_1,CMAUID,CMAUID_1,CMAUID_12,CSDNAME,CSDNAME_1,CSDTYPE,CSDTYPE_1,CSDUID,CSDUID_1,CSDUID_12,CTNAME,CTNAME_1,CTUID,CTUID_1,CTUID_12,DAUID,DAUID_1,DAUID_12,ERNAME,ERNAME_1,ERUID,ERUID_1,ERUID_12,FID_Munici,FID_gda_00,FULL_NAME,MUN_NAME,OBJECTID,PRNAME,PRNAME_1,PRUID,PRUID_1,PRUID_12,REG_NAME,SACCODE,SACCODE_1,SACTYPE,SACTYPE_1,SHAPE_Leng,Shape_Area,Shape_Le_1,geometry,geometry_1,mean,.geo
00000000000000000000,0.0,0.0,695.99302927,East Garafraxa,,3522001,0,0,Dufferin,,CTY,,3522,0,0,,,,0,,,,0,0,East Garafraxa,,TP,,3522001,0,0,,0.0,,0.0,0.0,35220110,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,22390,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,996,0,4,0,151323.106534,4107.25109726,4218.51948897,,,0.3466581657350542,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,0.0,0.0,695.99302927,Adjala-Tosorontio,,3543003,0,0,Simcoe,,CTY,,3543,0,0,,,,0,,,,0,0,Adjala-Tosorontio,,TP,,3543003,0,0,,0.0,,0.0,0.0,35430804,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,24320,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,996,0,4,0,151323.106534,13696.8468591,1980.46164794,,,0.2917573795806623,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,0.0,0.0,695.99302927,Erin,,3523017,0,0,Wellington,,CTY,,3523,0,0,,,,0,,,,0,0,Erin,,T,,3523017,0,0,,0.0,,0.0,0.0,35230350,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,25779,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,996,0,4,0,151323.106534,6718.67461737,4856.25155772,,,0.3567780493499111,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,0.0,0.0,695.99302927,Erin,,3523017,0,0,Wellington,,CTY,,3523,0,0,,,,0,,,,0,0,Erin,,T,,3523017,0,0,,0.0,,0.0,0.0,35230349,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,27535,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,996,0,4,0,151323.106534,3745.50278483,1017.45957867,,,0.3269317088810516,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,0.0,0.0,695.99302927,Erin,,3523017,0,0,Wellington,,CTY,,3523,0,0,,,,0,,,,0,0,Erin,,T,,3523017,0,0,,0.0,,0.0,0.0,35230341,0,0,Kitchener--Waterloo--Barrie,,3540,0,0,0,28786,Town of Caledon,Caledon,1,Ontario,,35,0,0,Peel,996,0,4,0,151323.106534,33480.1035897,26273.7186301,,,0.30547753047509457,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000035d,0.0,0.0,292.386251793,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0206.01,0.0,5350206.01,0.0,0.0,35201582,0,0,Toronto,,3530,0,0,2,22907,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,82.2387143104,56.2992594372,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004d4,0.0,0.0,292.386251793,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0206.01,0.0,5350206.01,0.0,0.0,35201581,0,0,Toronto,,3530,0,0,2,25772,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,2289.1353895,547.077293232,,,0.2134441354700786,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000065f,0.0,0.0,292.386251793,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0212.00,0.0,5350212.00,0.0,0.0,35201583,0,0,Toronto,,3530,0,0,2,28383,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,5732.20298949,2409.32736035,,,0.32640883505733476,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003df,0.0,0.0,292.386251793,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0213.00,0.0,5350213.00,0.0,0.0,35201606,0,0,Toronto,,3530,0,0,2,23877,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,49836.139123,7760.09083314,,,0.21886758821748656,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000516,0.0,0.0,292.386251793,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0220.00,0.0,5350220.00,0.0,0.0,35201610,0,0,Toronto,,3530,0,0,2,26211,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,17014.5238241,4478.83621158,,,0.24992995890167422,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004e5,0.0,0.0,292.386251793,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0221.01,0.0,5350221.01,0.0,0.0,35201617,0,0,Toronto,,3530,0,0,2,25878,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,16533.1866813,3694.30946425,,,0.2344415280486421,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000048b,0.0,0.0,292.386251793,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0236.02,0.0,5350236.02,0.0,0.0,35201762,0,0,Toronto,,3530,0,0,2,25297,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,29598.1889782,7771.38375566,,,0.24490941007878783,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004a8,0.0,0.0,292.386251793,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0236.02,0.0,5350236.02,0.0,0.0,35201623,0,0,Toronto,,3530,0,0,2,25497,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,10666.1991295,1983.15690441,,,0.19605219349289985,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000511,0.0,0.0,292.386251793,Toronto,,3520005,0,0,Toronto,,CDR,,3520,0,0,Toronto,,35535,0,B,,535,0,0,Toronto,,C,,3520005,0,0,0247.01,0.0,5350247.01,0.0,0.0,35204479,0,0,Toronto,,3530,0,0,2,26186,City of Mississauga,Mississauga,3,Ontario,,35,0,0,Peel,535,0,1,0,139183.481405,696.566907523,595.483470543,,,0.08965772661337613,"{""type"":""MultiPoint"",""coordinates"":[]}"
